,first_name,family_name,party,electorate,sitting,website,twitter,facebook,instagram
Sandra Old,Sandra,Old,ONP,Pearce,False,https://www.onenation.org.au/our-team/sandra-old/,,oldforpearce,
Sarah Henderson,Sarah,Henderson,LIB,Corangamite (*),True,,shendersonmp,sarahhendersonmp,sarahhendersonmp
Sarah Richards,Sarah,Richards,LIB,Macquarie,False,,,sarahrichardsformacquarie,sarah_richards_macquarie
Sarwar Hasan,Sarwar,Hasan,UAP,Maribyrnong,False,,,sarwarhasanuap,
Saskia Gerhardy,Saskia,Gerhardy,ALP,Mayo,False,https://www.alp.org.au/our-people/our-people/saskia-gerhardy/,,saskiagerhardyformayo,
Scott Bourne,Scott,Bourne,NAT,Durack,False,,,scotty4durack,
Scott Buchholz,Scott,Buchholz,LNP,Wright,True,http://www.scottbuchholz.com.au/,scottbuchholzmp,sbuchholzmp,scottbuchholzmp
Scott Morrison,Scott,Morrison,LIB,Cook,True,,scottmorrisonmp,scottmorrison4cook,scottmorrisonmp
Scott Rickard,Scott,Rickard,GRN,Dobell,False,https://greens.org.au/nsw/person/scott-rickard,,,
Scott Turner,Scott,Turner,GRN,Fadden,False,https://greens.org.au/qld/person/scott-turner,,scottturner.greens,
Serge Petrovich,Serge,Petrovich,LIB,Mallee,False,,,,
Shane Clarke,Shane,Clarke,UAP,Bowman,False,,,shaneclarkeuap,
Shane Wheatland,Shane,Wheatland,UAP,Indi,False,,,shanewheatlanduap,
Shannon Girard,Shannon,Girard,GRN,Wright,False,https://greens.org.au/qld/person/shannon-girard,,shannongirard.greens,
Sharon Bell,Sharon,Bell,ONP,Blair,False,https://www.onenation.org.au/our-team/sharon-bell/,,bellforblair,
Sharon Bird,Sharon,Bird,ALP,Cunningham,True,,sharonbirdmp,sharon.bird.mp,
Sharon Claydon,Sharon,Claydon,ALP,Newcastle,True,,sharonclaydon,sharonclaydonfornewcastle,
Sharon Lohse,Sharon,Lohse,ONP,Flynn,False,https://www.onenation.org.au/our-team/sharon-lohse-flynn/,,lohseforflynn,
Sharyn Morrow,Sharyn,Morrow,ALP,Durack,False,https://www.alp.org.au/our-people/our-people/sharyn-morrow/,,,
Shaun Osborn,Shaun,Osborn,LIB,Adelaide,False,https://www.shaunosborn.com.au/,shaunosborn1,shaunosborn4adelaide,
Shayne Neumann,Shayne,Neumann,ALP,Blair,True,,shayneneumannmp,shayne-neumann-mp,
Sheila Mundy,Sheila,Mundy,ONP,Cowan,False,https://www.onenation.org.au/our-team/sheila-mundy/,,mundyforcowan,
Shelley Payne,Shelley,Payne,ALP,O'Connor,False,https://www.alp.org.au/our-people/our-people/shelley-payne/,,laborforoconnor,
Shireen Morris,Shireen,Morris,ALP,Deakin,False,https://www.alp.org.au/our-people/our-people/shireen-morris/,shireenmorrisms,shireenmorrisms,
Shyamal Reddy,Shyamal,Reddy,UAP,Rankin,False,,,,
Signe Westerberg,Signe,Westerberg,GRN,Werriwa,False,https://greens.org.au/nsw/person/signe-westerberg,,swesterberggreens,
Simon Curtis,Simon,Curtis,ALP,La Trobe,False,,simonforlatrobe,simoncurtislatrobe,
Simon Flitcroft,Simon,Flitcroft,UAP,Bonner,False,,,simonflitcroftuap,
Simon Northeast,Simon,Northeast,GRN,Corangamite (*),False,https://greens.org.au/vic/person/simon-northeast,,northeastfor.corangamite.5,
Simon O'Brien,Simon,O'Brien,ALP,Cook,False,https://www.alp.org.au/our-people/our-people/simon-obrien/,,,
Simone Collins,Simone,Collins,GRN,Burt,False,https://greens.org.au/wa/person/simone-collins,,simoneforburt,
Simone Dejun,Simone,Dejun,GRN,Longman,False,https://greens.org.au/qld/person/simone-dejun,,simonedejun,
Sophia Sun,Sophia,Sun,GRN,Deakin,False,https://greens.org.au/vic/person/sophia-sun,,,
Sophie Wade,Sophie,Wade,NAT,Eden-Monaro,False,,,sophiewade.edenmonaro,
Stef Rozitis,Stef,Rozitis,GRN,Boothby,False,https://greens.org.au/sa/person/stef-rozitis,,stef-rozitis-greens-candidate-for-boothby-469118146931866,
Stella Yee,Stella,Yee,ALP,Menzies,False,https://www.alp.org.au/our-people/our-people/stella-yee/,,stellaformenzies,
Steph Hodgins-May,Steph,Hodgins-May,GRN,Macnamara,False,https://stephhodginsmay.org.au/,vote1steph,stephforports,stephforports
Stephanie Stewart,Stephanie,Stewart,GRN,Makin,False,https://greens.org.au/sa/person/stephanie-stewart,,stephanie-stewart-greens-candidate-for-makin-2080100215387405,
Stephen Austin,Stephen,Austin,UAP,Dickson,False,,,stephenaustinuap,
Stephen Jones,Stephen,Jones,ALP,Whitlam,True,,stephenjonesmp,stephenjonesforthrosby,
Steve Georganas,Steve,Georganas,ALP,Adelaide,True,https://www.alp.org.au/our-people/our-people/steve-georganas/,stevegeorganas,steve.georganas,steve_georganas
Steve Irons,Steve,Irons,LIB,Swan,True,,steveironsmp,steveironsmp,steveironsmp
Steve Klomp,Steve,Klomp,AUC,Swan,False,,,,
Steve Martin,Steve,Martin,LIB,Indi,False,https://vic.liberal.org.au/SteveMartin,,tasmaniansenatorstevemartin,
Steve Veevers,Steve,Veevers,UAP,Canning,False,,,canning-uap-2068380516793035,
Steven Armstrong,Steven,Armstrong,SAP,Macnamara,False,https://www.sustainableaustralia.org.au/federal_2019,,,
Steven Ciobo,Steven,Ciobo,LNP,Moncrieff,True,,stevenciobo,stevenciobomp,stevenciobo
Steven D'Elia,Steven,D'Elia,UAP,Kooyong,False,,,,
Steven Purcell,Steven,Purcell,GRN,Oxley,False,https://greens.org.au/qld/person/steven-purcell,,stevenpurcell.qld,
Stewart Hine,Stewart,Hine,UAP,Nicholls,False,,,stewarthineuap,
Stuart Bonds,Stuart,Bonds,ONP,Hunter,False,https://www.onenation.org.au/our-team/stuart-bonds/,,bondsforhunter,
Stuart Robert,Stuart,Robert,LNP,Fadden,True,http://www.robert.com.au/,stuartrobertmp,sturobertmp,
Stuart Watson,Stuart,Watson,GRN,Lyne,False,https://greens.org.au/nsw/person/stuart-watson,,,
Sue Bertuch,Sue,Bertuch,UAP,Kennedy,False,,,suebertuchuap,
Sue Bolton,Sue,Bolton,VS,Wills,False,https://www.victoriansocialists.org.au/,,,
Sue Etheridge,Sue,Etheridge,GRN,Fairfax,False,https://greens.org.au/qld/person/sue-etheridge,,sueetheridgegreens,
Suellen Wrightson,Suellen,Wrightson,UAP,Warringah,False,,,warringah-uap-357393148193635,
Susan Jakobi,Susan,Jakobi,AFN,Lalor,False,https://australiafirstparty.net/campaigns/2019-campaigns/,,dr-jim-saleam-for-cootamundra-for-an-ideological-revolution-533489096994770,
Susan Lamb,Susan,Lamb,ALP,Longman,True,,susanlambmp,lambforlongman,
Susan Moylan-Coombs,Susan,Moylan-Coombs,IND,Warringah,False,https://www.susanmoylancoombs4warringah.com/,smoylancoombs,susan-moylan-coombs-warringah-2019-295993364383871,susanmoylancoombs
Susan Templeman,Susan,Templeman,ALP,Macquarie,True,,stemplemanmp,susan.templeman,
Sussan Ley,Sussan,Ley,LIB,Farrer,True,,sussanley,sussanleymp,sussanleymp
Tanya Plibersek,Tanya,Plibersek,ALP,Sydney,True,,tanya_plibersek,tanya.plibersek,
Ted O'Brien,Ted,O'Brien,LNP,Fairfax,True,http://www.tedobrien.com.au/,,tedobrienmp,
Terri Butler,Terri,Butler,ALP,Griffith,True,,terrimbutler,butler4griffith,
Terry Keep,Terry,Keep,UAP,Hughes,False,,,hughes-uap-2108630749258123,
Terry Young,Terry,Young,LNP,Longman,False,,,terry4longman,
Therese Faulkner,Therese,Faulkner,PROG,Bean,False,https://www.progressives.org.au/our-people/,,,
Tim Hollo,Tim,Hollo,GRN,Canberra,False,https://greens.org.au/act/person/tim-hollo,timhollo,timhollo4canberra,
Tim Murray,Tim,Murray,ALP,Wentworth (*),False,https://www.alp.org.au/our-people/our-people/tim-murray/,,wentworthlabor,
Tim Watts,Tim,Watts,ALP,Gellibrand,True,,timwattsmp,timwattsmp,
Tim Wilson,Tim,Wilson,LIB,Goldstein,True,,timwilsonmp,timwilsonmp,timwilsonmp
Timothy Ryan,Timothy,Ryan,UAP,Higgins,False,,,timothyryanuap,
Timothy Vo,Timothy,Vo,LIB,Ballarat,False,,,,
Tom Baster,Tom,Baster,ALP,Bowman,False,https://www.alp.org.au/our-people/our-people/tom-baster/,,baster4bowman,
Tom Hall,Tom,Hall,GRN,Bass,False,https://greens.org.au/tas/person/tom-hall,,tom-hall-greens-candidate-for-bass-401050864030955,
Tony Abbott,Tony,Abbott,LIB,Warringah,True,,tonyabbottmhr,tonyabbottmp,tonyabbottmhr
Tony Adams,Tony,Adams,GRN,Bradfield,False,https://greens.org.au/nsw/person/tony-adams,,greens.bradfield,
Tony Burke,Tony,Burke,ALP,Watson,True,,tony_burke,tony.burke.mp,
Tony Lonergan,Tony,Lonergan,GRN,New England,False,https://greens.org.au/nsw/person/tony-lonergan,,uhgreenstony,
